post_id	post_name	status	price_from	price_to
12489	9998-revision-v1	inherit	3133	8485
12490	9998-revision-v1	inherit	3133	8485
12491	9998-revision-v1	inherit	3133	8485
12492	9998-revision-v1	inherit	3133	8485
12493	6998-revision-v1	inherit	4734	12226
12496	6998-revision-v1	inherit	4734	12226
12497	6998-revision-v1	inherit	4734	12226
12498	3322-revision-v1	inherit	1872	4446
12500	4771-revision-v1	inherit	2515	4855
12502	4001-revision-v1	inherit	3607	6496
12504	3091-revision-v1	inherit	2549	6892
12505	9998-revision-v1	inherit	3133	8485
12506	2751-revision-v1	inherit	2724	8646
12507	2782-revision-v1	inherit	2724	8646
12508	4435-revision-v1	inherit	2550	6891
12509	2818-revision-v1	inherit	2724	7268
12510	4327-revision-v1	inherit	4088	8709
12570	3322-revision-v1	inherit	1872	4446
12571	3322-revision-v1	inherit	1872	4446
12572	3322-revision-v1	inherit	1872	4446
12573	3322-revision-v1	inherit	1872	4446
12579	12511-autosave-v1	inherit	1945	5352
12608	4771-revision-v1	inherit	2515	4855
12610	4771-revision-v1	inherit	2515	4855
12611	4771-revision-v1	inherit	2515	4855
12613	4473-revision-v1	inherit	8925	9460
12615	4473-revision-v1	inherit	8925	9996
12617	4473-revision-v1	inherit	8925	9996
12648	6998-revision-v1	inherit	4734	12226
12651	4067-revision-v1	inherit	2590	5763
12719	6998-revision-v1	inherit	4734	12226
12720	6998-revision-v1	inherit	4734	12226
12733	4435-revision-v1	inherit	2550	6891
12748	4067-revision-v1	inherit	2590	5763
12749	4067-revision-v1	inherit	2590	5763
12770	9998-revision-v1	inherit	3133	8485
12838	9082-revision-v1	inherit	2506	6140
12842	9082-revision-v1	inherit	2506	6140
12843	9082-revision-v1	inherit	2506	6140
12857	3174-revision-v1	inherit	2835	6767
12859	3174-revision-v1	inherit	2835	6767
12902	2894-revision-v1	inherit	1912	5263
12904	2894-revision-v1	inherit	1912	5263
12908	3322-revision-v1	inherit	1872	4446
12909	3322-revision-v1	inherit	1872	4446
12911	4067-revision-v1	inherit	2590	5763
12913	9082-revision-v1	inherit	2506	6140
12914	3524-revision-v1	inherit	1989	4797
12915	3524-autosave-v1	inherit	1989	4797
12916	3524-revision-v1	inherit	1989	4797
12918	3155-revision-v1	inherit	2549	5666
12920	4771-revision-v1	inherit	2515	4855
12922	3174-revision-v1	inherit	2835	6767
12924	2929-revision-v1	inherit	2550	6891
12926	2782-revision-v1	inherit	2724	8646
