post_id	post_name	status	display	has_text
18003	2782-revision-v1	inherit	1	no
18007	3186-revision-v1	inherit	1	no
18009	2894-revision-v1	inherit	1	no
18013	3174-revision-v1	inherit	1	no
18014	4435-revision-v1	inherit	1	no
18218	3174-revision-v1	inherit	1	no
18224	3174-revision-v1	inherit	1	no
18256	3174-revision-v1	inherit	1	no
18259	3174-revision-v1	inherit	1	no
18261	3174-revision-v1	inherit	1	no
18263	3174-revision-v1	inherit	1	no
18292	3186-revision-v1	inherit	1	no
18297	3174-revision-v1	inherit	1	no
18298	4435-revision-v1	inherit	1	no
18308	3186-revision-v1	inherit	1	no
18468	2782-revision-v1	inherit	1	no
18472	2894-revision-v1	inherit	1	no
18474	3174-revision-v1	inherit	1	no
18475	4435-revision-v1	inherit	1	no
18476	2782-revision-v1	inherit	1	no
18477	2782-autosave-v1	inherit	1	no
