post_id	post_name	status	value
17321	9082-revision-v1	inherit	1
17328	4771-revision-v1	inherit	1
17329	3155-revision-v1	inherit	1
17667	6998-revision-v1	inherit	1
17669	9082-revision-v1	inherit	1
17676	3155-revision-v1	inherit	1
17843	9082-revision-v1	inherit	1
17846	9082-revision-v1	inherit	1
17980	6998-revision-v1	inherit	1
17981	9082-revision-v1	inherit	1
17987	3155-revision-v1	inherit	1
17996	3155-revision-v1	inherit	1
17998	3155-revision-v1	inherit	1
18000	3155-revision-v1	inherit	1
18004	6998-revision-v1	inherit	1
18005	9082-revision-v1	inherit	1
18011	3155-revision-v1	inherit	1
18289	6998-revision-v1	inherit	1
18290	9082-revision-v1	inherit	1
18295	4771-revision-v1	inherit	1
18296	3155-revision-v1	inherit	1
18453	3155-revision-v1	inherit	1
18454	9082-revision-v1	inherit	1
18462	9082-revision-v1	inherit	1
18464	3155-revision-v1	inherit	1
18452	3155-autosave-v1	inherit	1
18469	6998-revision-v1	inherit	1
18600	3155-revision-v1	inherit	1
18612	3155-revision-v1	inherit	1
18623	10920-revision-v1	inherit	1
18624	4771-revision-v1	inherit	1
18626	3155-revision-v1	inherit	1
