post_id	post_name	status	value
13177	12511-revision-v1	inherit	Our Unique Trailer accommodation 
13178	12511-revision-v1	inherit	Our Unique Trailer accommodation 
13179	12511-revision-v1	inherit	Our Unique Trailer accommodation 
13184	12511-revision-v1	inherit	Our Unique Trailer accommodation 
13192	12511-revision-v1	inherit	Our Unique Trailer accommodation 
13193	12511-revision-v1	inherit	Our Unique Trailer accommodation 
13194	12511-revision-v1	inherit	Our Unique Trailer accommodation 
13195	12511-revision-v1	inherit	Our Unique Trailer accommodation 
13211	12511-revision-v1	inherit	Our Unique Trailer accommodation 
13229	12511-revision-v1	inherit	Our Unique Trailer accommodation 
13232	13105-revision-v1	inherit	A beautiful villa with amazing sea views and sunsets
13242	13105-revision-v1	inherit	A beautiful villa with amazing sea views and sunsets
13346	casa-buscastell	draft	Chalet en venta en Santa Gertrudis de Fruitera
13349	jade-apartments	draft	Atico en venta en Platja Cala Llenya
13351	casa-mar	draft	Chalet en venta en Marina Botafoch-Platja de Talamanca
13356	casa-balinesa-2	private	Chalet en venta en Sant Jordi de ses Salines
13359	13346-revision-v1	inherit	Chalet en venta en Santa Gertrudis de Fruitera
13385	13346-revision-v1	inherit	Chalet en venta en Santa Gertrudis de Fruitera
13397	13349-revision-v1	inherit	Atico en venta en Platja Cala Llenya
13398	13349-revision-v1	inherit	Atico en venta en Platja Cala Llenya
13399	13349-revision-v1	inherit	Atico en venta en Platja Cala Llenya
13400	13351-revision-v1	inherit	Chalet en venta en Marina Botafoch-Platja de Talamanca
13401	13346-revision-v1	inherit	Chalet en venta en Santa Gertrudis de Fruitera
13420	13351-revision-v1	inherit	Chalet en venta en Marina Botafoch-Platja de Talamanca
13434	13356-revision-v1	inherit	Chalet en venta en Sant Jordi de ses Salines
13435	13356-revision-v1	inherit	Chalet en venta en Sant Jordi de ses Salines
13436	casa-deborah	draft	Casa adosada en venta en Cala Tarida
13454	13436-revision-v1	inherit	Casa adosada en venta en Cala Tarida
13456	13346-revision-v1	inherit	Chalet en venta en Santa Gertrudis de Fruitera
13457	13351-revision-v1	inherit	Chalet en venta en Marina Botafoch-Platja de Talamanca
13458	13356-revision-v1	inherit	Chalet en venta en Sant Jordi de ses Salines
13459	13356-revision-v1	inherit	Chalet en venta en Sant Jordi de ses Salines
13460	13436-revision-v1	inherit	Casa adosada en venta en Cala Tarida
13461	13436-revision-v1	inherit	Casa adosada en venta en Cala Tarida
13494	title-sep-ibiza-villas-for-sale-page-sep-sitename	draft	Chalet en venta en Sant Llorenç de Balàfia
13495	13494-revision-v1	inherit	Chalet en venta en Sant Llorenç de Balàfia
13496	13494-revision-v1	inherit	Chalet en venta en Sant Llorenç de Balàfia
13497	casa-rosella	draft	Chalet en venta en Cap Martinet
13498	13497-revision-v1	inherit	Chalet en venta en Cap Martinet
13499	13497-revision-v1	inherit	Chalet en venta en Cap Martinet
13500	cana-michel	draft	Chalet en venta en Cala Tarida
13520	13500-revision-v1	inherit	Chalet en venta en Cala Tarida
